id,gloss,pos,official,predicted,norm_edit,branch_cov,n_langs
4359,automatic,adj,avtomatičny,avtamatičny,0.091,2,13
19494,non-aligned (politician),adj,bezpartijny,bezpartieny,0.091,3,15
35341,Byzantine,adj,bizantijsky,vizantijsky,0.091,2,12
22297,"show benevolence, show goodwill",verb,blågovolěti,blagovoliti,0.091,2,14
37508,armadillo,noun,brȯnjenosėc,bronenosec,0.091,2,12
348,Montenegrin,adj,črnogorsky,černogorsky,0.091,3,11
25152,make one’s debut,verb,debjutovati,debutovati,0.091,2,10
2851,decade,noun,desętilěťje,desetiletie,0.091,3,18
35942,dialectical,adj,dialektičny,dialektyčny,0.091,3,12
25276,volunteer,noun,dobrovoljec,dobrovolec,0.091,2,17
17277,voluntary,adj,dobrovoljny,dobrovolny,0.091,3,17
35308,long-lasting,adj,dȯlgotrajny,dȯlgotraeny,0.091,1,15
7205,complement,noun,dopȯlnjeńje,dopȯlnenje,0.091,3,18
21726,deliver,verb,dostavjati,dostavljati,0.091,2,11
21854,catch up,verb,dostignųti,dostignouti,0.091,1,21
7421,nobility,noun,dvorjanstvo,dvoranstvo,0.091,2,21
2882,"bilateral, two-sided",adj,dvustrånny,dvoustranny,0.091,3,14
17365,ambiguity,noun,dvuznačnosť,dvoznačnosť,0.091,3,17
33007,deaf-and-dumbness,noun,gluhuněmota,gluhonemota,0.091,2,11
25937,hierarchic,adj,hierarhičny,ierarhičny,0.091,2,12
19717,homogeneity,noun,homogennosť,homogenosť,0.091,2,18
22387,Honduran,adj,hondurassky,hondurasky,0.091,3,11
3174,intellectual,noun,intelektual,intlektual,0.091,2,11
8024,exception,noun,izključeńje,izklučenje,0.091,1,13
21308,explore,verb,izslědovati,issledovati,0.091,1,14
8282,singular,adj,jedinstveny,edinstveny,0.091,2,18
17618,unanimously,adv,jednoglåsno,ednoglasno,0.091,3,13
17619,unanimous,adj,jednoglåsny,jednoglosny,0.091,3,13
17620,"explicitly, unambiguously, unequivocally",adv,jednoznačno,ednoznačno,0.091,3,22
36380,southeast,adj,jugoiztočny,jugoistočny,0.091,1,11
35876,air-conditioner,noun,kondicioner,kondycioner,0.091,1,14
16971,polysyllabic,adj,mnogosložny,mnogusložny,0.091,2,14
2762,oil pipeline,noun,naftoprovod,neftoprovod,0.091,2,12
35936,mood (grammar),noun,naklonjeńje,naklonenje,0.091,1,11
32227,underdeveloped,adj,nedoråzvity,nedarazvity,0.091,2,12
19894,inexplicable,adj,neobjasnimy,neobasnimy,0.091,2,16
3860,"unexpectedly, suddenly",adv,neočekyvano,neočekivano,0.091,3,29
19896,indescribable,adj,neopisujemy,neopisuemy,0.091,2,18
19901,"unceasingly, incessantly",adv,neprěstanno,neprestano,0.091,1,21
28482,"unceasing, incessant",adj,neprěstanny,neprestany,0.091,1,22
19903,incomprehension,noun,neråzuměńje,nerazumenne,0.091,1,13
9653,unfortunate,adj,neščęstlivy,neščęslivy,0.091,2,22
35068,intolerance,noun,netŕpimosť,neterpimosť,0.091,2,20
9680,neuromorphic,adj,nevromorfny,neuromorfny,0.091,3,12
5037,neutrality,noun,nevtraľnosť,neutraľnosť,0.091,2,18
3608,explanation,noun,objasnjeńje,objasnenje,0.091,3,21
23247,observation,noun,observacija,opservacija,0.091,1,20
36005,"pack, package, wrap",verb,opakovyvati,upakovyvati,0.091,1,15
10230,"mourning, grief",noun,oplakyvańje,oplakivanje,0.091,3,22
10237,definitely,adv,oprěděljeno,opredeleno,0.091,2,24
10238,definite,adj,oprěděljeny,opredeleny,0.091,2,23
14807,"destruction, desolation, devastation",noun,opustošeńje,spustošenje,0.091,2,29
10269,"squire, weapons-bearer",noun,orųžjenosec,oruženosec,0.091,2,15
34650,"lighting, illumination",noun,osvětljeńje,osvetlenje,0.091,3,18
23877,perfume,verb,parfumovati,parfemovati,0.091,1,13
35316,pasigraphy,noun,pazigrafija,pasigrafija,0.091,2,11
23605,pedagogic,adj,pedagogičny,pedagagičny,0.091,2,12
4319,perversity,noun,perversnosť,perverznosť,0.091,2,18
